roll,subject,ut1,theory1,ut2,theory2,practical
56,Marathi,17.0,34.0,18.0,64.0,20.0
57,Marathi,17.0,42.0,22.0,72.0,20.0
58,Marathi,15.0,32.0,17.0,60.0,20.0
59,Marathi,17.0,34.0,20.0,64.0,20.0
60,Marathi,15.0,32.0,17.0,62.0,20.0
61,Marathi,14.0,30.0,15.0,60.0,20.0
62,Marathi,14.0,32.0,15.0,58.0,20.0
63,Marathi,12.0,28.0,15.0,55.0,19.0
64,Marathi,17.0,34.0,20.0,64.0,20.0
65,Marathi,14.0,30.0,17.0,60.0,19.0
66,Marathi,14.0,30.0,15.0,62.0,20.0
67,Marathi,17.0,38.0,20.0,64.0,20.0
68,Marathi,14.0,32.0,20.0,60.0,20.0
69,Marathi,14.0,30.0,17.0,62.0,19.0
70,Marathi,17.0,40.0,20.0,64.0,20.0
71,Marathi,17.0,38.0,20.0,64.0,20.0
72,Marathi,20.0,42.0,22.0,70.0,20.0
73,Marathi,20.0,40.0,18.0,64.0,20.0
74,Marathi,17.0,38.0,17.0,60.0,20.0
75,Marathi,17.0,40.0,20.0,64.0,20.0
76,Marathi,20.0,38.0,17.0,68.0,20.0
77,Marathi,20.0,40.0,17.0,65.0,20.0
78,Marathi,18.0,40.0,20.0,62.0,20.0
79,Marathi,15.0,32.0,17.0,60.0,19.0
80,Marathi,17.0,38.0,20.0,64.0,20.0
81,Marathi,17.0,40.0,20.0,64.0,20.0
82,Marathi,20.0,40.0,22.0,68.0,20.0
83,Marathi,20.0,38.0,22.0,68.0,20.0
84,Marathi,18.0,32.0,20.0,65.0,20.0
85,Marathi,17.0,34.0,18.0,64.0,20.0
86,Marathi,15.0,32.0,17.0,62.0,20.0
87,Marathi,17.0,30.0,20.0,64.0,20.0
88,Marathi,14.0,27.0,17.0,60.0,20.0
89,Marathi,20.0,34.0,18.0,64.0,20.0
90,Marathi,20.0,32.0,17.0,64.0,20.0
91,Marathi,18.0,30.0,20.0,62.0,20.0
92,Marathi,20.0,32.0,18.0,64.0,20.0
93,Marathi,17.0,30.0,18.0,62.0,19.0
94,Marathi,17.0,34.0,20.0,64.0,20.0
95,Marathi,20.0,32.0,18.0,64.0,20.0
96,Marathi,17.0,30.0,18.0,62.0,20.0
97,Marathi,17.0,34.0,18.0,62.0,20.0
98,Marathi,15.0,32.0,20.0,64.0,20.0
99,Marathi,17.0,34.0,20.0,60.0,20.0
100,Marathi,12.0,30.0,17.0,58.0,20.0
101,Marathi,17.0,38.0,18.0,64.0,20.0
102,Marathi,17.0,35.0,18.0,62.0,20.0
103,Marathi,18.0,38.0,20.0,60.0,20.0
104,Marathi,17.0,34.0,17.0,58.0,20.0
105,Marathi,20.0,38.0,17.0,62.0,20.0
106,Marathi,17.0,35.0,19.0,64.0,20.0
107,Marathi,17.0,35.0,19.0,60.0,20.0
108,Marathi,18.0,38.0,17.0,58.0,20.0
109,Marathi,17.0,35.0,20.0,60.0,20.0
110,Marathi,15.0,32.0,17.0,62.0,20.0
111,Marathi,0,0,0,0,0
112,Marathi,17.0,34.0,20.0,62.0,20.0
113,Marathi,15.0,32.0,17.0,60.0,19.0
114,Marathi,14.0,30.0,20.0,54.0,20.0
115,Marathi,17.0,34.0,17.0,52.0,20.0
116,Marathi,15.0,34.0,18.0,62.0,20.0
117,Marathi,17.0,38.0,17.0,64.0,20.0
118,Marathi,17.0,36.0,20.0,62.0,20.0
119,Marathi,18.0,38.0,20.0,64.0,20.0
120,Marathi,17.0,38.0,18.0,62.0,20.0
1,Physics,17.0,45.0,20.0,60.0,30.0
2,Physics,18.0,36.0,17.0,42.0,30.0
3,Physics,16.0,36.0,17.0,34.0,29.0
4,Physics,14.0,28.0,17.0,35.0,27.0
5,Physics,17.0,38.0,20.0,59.0,30.0
6,Physics,16.0,38.0,17.0,37.0,27.0
7,Physics,16.0,25.0,18.0,40.0,28.0
8,Physics,14.0,28.0,18.0,45.0,28.0
9,Physics,17.0,46.0,20.0,55.0,30.0
10,Physics,18.0,32.0,19.0,32.0,27.0
11,Physics,20.0,35.0,18.0,50.0,28.0
12,Physics,16.0,45.0,20.0,60.0,30.0
13,Physics,18.0,36.0,16.0,40.0,28.0
14,Physics,14.0,36.0,17.0,35.0,28.0
15,Physics,16.0,35.0,17.0,45.0,30.0
16,Physics,17.0,35.0,20.0,57.0,30.0
17,Physics,16.0,34.0,18.0,48.0,30.0
18,Physics,15.0,27.0,13.0,37.0,27.0
19,Physics,14.0,28.0,20.0,45.0,28.0
20,Physics,17.0,39.0,17.0,46.0,30.0
21,Physics,17.0,38.0,16.0,40.0,30.0
22,Physics,18.0,30.0,15.0,36.0,28.0
23,Physics,16.0,38.0,20.0,50.0,30.0
24,Physics,18.0,40.0,20.0,60.0,28.0
25,Physics,14.0,35.0,17.0,30.0,27.0
26,Physics,16.0,35.0,16.0,36.0,27.0
27,Physics,17.0,44.0,16.0,62.0,28.0
28,Physics,16.0,40.0,17.0,55.0,28.0
29,Physics,16.0,35.0,20.0,55.0,30.0
30,Physics,0,0,0,0,0
31,Physics,14.0,36.0,17.0,39.0,27.0
32,Physics,15.0,34.0,17.0,40.0,28.0
33,Physics,15.0,37.0,19.0,36.0,28.0
34,Physics,16.0,38.0,20.0,50.0,27.0
35,Physics,15.0,46.0,18.0,50.0,28.0
36,Physics,14.0,46.0,16.0,35.0,29.0
37,Physics,17.0,39.0,17.0,45.0,30.0
38,Physics,15.0,35.0,17.0,30.0,27.0
39,Physics,17.0,34.0,17.0,36.0,27.0
40,Physics,18.0,36.0,16.0,30.0,28.0
41,Physics,16.0,40.0,20.0,50.0,28.0
42,Physics,14.0,39.0,16.0,41.0,29.0
43,Physics,15.0,40.0,15.0,38.0,29.0
44,Physics,17.0,39.0,20.0,43.0,30.0
45,Physics,16.0,46.0,19.0,45.0,30.0
46,Physics,17.0,46.0,20.0,63.0,30.0
47,Physics,17.0,37.0,17.0,28.0,28.0
48,Physics,16.0,44.0,20.0,50.0,28.0
49,Physics,16.0,45.0,18.0,35.0,30.0
50,Physics,16.0,42.0,17.0,35.0,30.0
51,Physics,15.0,35.0,16.0,38.0,29.0
52,Physics,14.0,32.0,16.0,34.0,28.0
53,Physics,16.0,27.0,15.0,30.0,28.0
54,Physics,17.0,28.0,17.0,30.0,28.0
55,Physics,17.0,30.0,16.0,35.0,28.0
56,Physics,16.0,32.0,17.0,35.0,28.0
57,Physics,18.0,45.0,20.0,57.0,30.0
58,Physics,13.0,40.0,17.0,34.0,30.0
59,Physics,12.0,35.0,17.0,30.0,29.0
60,Physics,14.0,28.0,16.0,35.0,29.0
61,Physics,15.0,30.0,16.0,46.0,29.0
62,Physics,16.0,32.0,17.0,42.0,29.0
63,Physics,17.0,31.0,16.0,40.0,30.0
64,Physics,15.0,35.0,15.0,48.0,29.0
65,Physics,14.0,34.0,16.0,45.0,29.0
66,Physics,20.0,36.0,16.0,50.0,28.0
67,Physics,16.0,37.0,17.0,50.0,30.0
68,Physics,16.0,30.0,16.0,50.0,30.0
69,Physics,15.0,30.0,15.0,50.0,30.0
70,Physics,13.0,32.0,14.0,44.0,30.0
71,Physics,14.0,34.0,16.0,46.0,28.0
72,Physics,16.0,32.0,17.0,39.0,29.0
73,Physics,16.0,45.0,16.0,45.0,30.0
74,Physics,16.0,33.0,15.0,35.0,29.0
75,Physics,15.0,35.0,19.0,58.0,30.0
76,Physics,14.0,36.0,17.0,38.0,28.0
77,Physics,16.0,36.0,16.0,46.0,29.0
78,Physics,17.0,33.0,16.0,40.0,29.0
79,Physics,17.0,31.0,20.0,48.0,29.0
80,Physics,18.0,35.0,17.0,39.0,28.0
81,Physics,16.0,32.0,20.0,63.0,30.0
82,Physics,18.0,44.0,18.0,50.0,30.0
83,Physics,14.0,30.0,17.0,39.0,29.0
84,Physics,16.0,28.0,17.0,42.0,29.0
85,Physics,17.0,28.0,20.0,50.0,30.0
86,Physics,15.0,32.0,15.0,41.0,30.0
87,Physics,17.0,33.0,16.0,37.0,29.0
88,Physics,16.0,30.0,17.0,44.0,29.0
89,Physics,14.0,36.0,17.0,62.0,30.0
90,Physics,15.0,29.0,16.0,46.0,28.0
91,Physics,16.0,30.0,16.0,30.0,27.0
92,Physics,17.0,32.0,16.0,39.0,27.0
93,Physics,16.0,29.0,17.0,35.0,28.0
94,Physics,16.0,31.0,17.0,38.0,28.0
95,Physics,15.0,30.0,15.0,30.0,29.0
96,Physics,15.0,30.0,16.0,53.0,30.0
97,Physics,15.0,30.0,17.0,48.0,28.0
98,Physics,18.0,40.0,20.0,58.0,30.0
99,Physics,16.0,39.0,18.0,47.0,29.0
100,Physics,14.0,37.0,17.0,40.0,29.0
101,Physics,13.0,36.0,18.0,45.0,30.0
102,Physics,15.0,46.0,20.0,49.0,30.0
103,Physics,14.0,39.0,17.0,40.0,29.0
104,Physics,16.0,30.0,16.0,45.0,29.0
105,Physics,15.0,40.0,18.0,56.0,30.0
106,Physics,17.0,46.0,17.0,38.0,28.0
107,Physics,16.0,45.0,20.0,60.0,30.0
108,Physics,14.0,39.0,16.0,54.0,30.0
109,Physics,16.0,38.0,17.0,46.0,29.0
110,Physics,15.0,36.0,17.0,45.0,29.0
111,Physics,0,0,0,0,0
112,Physics,17.0,46.0,20.0,60.0,30.0
113,Physics,16.0,34.0,17.0,40.0,29.0
114,Physics,15.0,28.0,18.0,38.0,28.0
115,Physics,14.0,34.0,17.0,55.0,30.0
116,Physics,18.0,42.0,16.0,38.0,29.0
117,Physics,14.0,36.0,21.0,65.0,30.0
118,Physics,14.0,40.0,20.0,58.0,30.0
119,Physics,16.0,39.0,20.0,59.0,30.0
120,Physics,14.0,35.0,16.0,47.0,29.0
1,Chemistry,18.0,34.0,18.0,60.0,30.0
2,Chemistry,13.0,30.0,16.0,55.0,30.0
3,Chemistry,14.0,29.0,16.0,41.0,30.0
4,Chemistry,16.0,26.0,18.0,50.0,28.0
5,Chemistry,18.0,34.0,16.0,63.0,29.0
6,Chemistry,15.0,29.0,17.0,45.0,30.0
7,Chemistry,14.0,23.0,15.0,48.0,28.0
8,Chemistry,13.0,25.0,15.0,45.0,30.0
9,Chemistry,18.0,35.0,19.0,56.0,30.0
10,Chemistry,13.0,29.0,17.0,39.0,30.0
11,Chemistry,14.0,36.0,16.0,54.0,30.0
12,Chemistry,19.0,36.0,19.0,59.0,29.0
13,Chemistry,16.0,30.0,21.0,55.0,30.0
14,Chemistry,10.0,25.0,15.0,50.0,30.0
15,Chemistry,15.0,35.0,20.0,54.0,30.0
16,Chemistry,19.0,36.0,20.0,53.0,30.0
17,Chemistry,18.0,40.0,15.0,53.0,30.0
18,Chemistry,15.0,25.0,17.0,41.0,30.0
19,Chemistry,17.0,38.0,19.0,54.0,30.0
20,Chemistry,15.0,25.0,17.0,47.0,30.0
21,Chemistry,13.0,35.0,14.0,44.0,30.0
22,Chemistry,10.0,23.0,20.0,51.0,30.0
23,Chemistry,15.0,30.0,23.0,66.0,30.0
24,Chemistry,19.0,36.0,20.0,63.0,30.0
25,Chemistry,16.0,18.0,15.0,47.0,30.0
26,Chemistry,10.0,28.0,11.0,41.0,30.0
27,Chemistry,14.0,39.0,15.0,59.0,29.0
28,Chemistry,12.0,39.0,16.0,58.0,29.0
29,Chemistry,15.0,36.0,20.0,59.0,30.0
30,Chemistry,0,0,0,0,0
31,Chemistry,12.0,30.0,20.0,58.0,30.0
32,Chemistry,13.0,28.0,18.0,40.0,29.0
33,Chemistry,15.0,26.0,15.0,48.0,30.0
34,Chemistry,14.0,39.0,22.0,55.0,30.0
35,Chemistry,15.0,26.0,14.0,46.0,29.0
36,Chemistry,14.0,21.0,15.0,45.0,27.0
37,Chemistry,15.0,29.0,24.0,62.0,30.0
38,Chemistry,14.0,22.0,18.0,49.0,29.0
39,Chemistry,14.0,17.0,16.0,46.0,29.0
40,Chemistry,11.0,29.0,15.0,40.0,29.0
41,Chemistry,18.0,38.0,16.0,56.0,30.0
42,Chemistry,11.0,28.0,19.0,52.0,30.0
43,Chemistry,16.0,21.0,13.0,42.0,28.0
44,Chemistry,19.0,35.0,20.0,56.0,30.0
45,Chemistry,14.0,29.0,17.0,50.0,30.0
46,Chemistry,18.0,36.0,15.0,61.0,30.0
47,Chemistry,15.0,22.0,14.0,42.0,29.0
48,Chemistry,16.0,36.0,20.0,50.0,30.0
49,Chemistry,16.0,30.0,20.0,60.0,30.0
50,Chemistry,16.0,35.0,21.0,58.0,30.0
51,Chemistry,15.0,35.0,21.0,61.0,30.0
52,Chemistry,13.0,34.0,19.0,46.0,30.0
53,Chemistry,12.0,25.0,19.0,46.0,30.0
54,Chemistry,14.0,36.0,18.0,50.0,30.0
55,Chemistry,14.0,11.0,18.0,50.0,29.0
56,Chemistry,15.0,19.0,15.0,43.0,28.0
57,Chemistry,18.0,39.0,19.0,60.0,30.0
58,Chemistry,16.0,29.0,15.0,51.0,29.0
59,Chemistry,16.0,22.0,15.0,45.0,30.0
60,Chemistry,14.0,23.0,15.0,48.0,30.0
61,Chemistry,15.0,28.0,18.0,45.0,30.0
62,Chemistry,9.0,25.0,18.0,41.0,29.0
63,Chemistry,10.0,17.0,16.0,49.0,30.0
64,Chemistry,12.0,29.0,19.0,54.0,30.0
65,Chemistry,15.0,17.0,17.0,44.0,29.0
66,Chemistry,18.0,36.0,18.0,53.0,27.0
67,Chemistry,15.0,24.0,18.0,53.0,30.0
68,Chemistry,14.0,30.0,15.0,47.0,30.0
69,Chemistry,15.0,36.0,20.0,55.0,30.0
70,Chemistry,15.0,29.0,15.0,47.0,28.0
71,Chemistry,19.0,30.0,18.0,55.0,30.0
72,Chemistry,14.0,35.0,19.0,42.0,28.0
73,Chemistry,10.0,20.0,15.0,45.0,30.0
74,Chemistry,12.0,27.0,15.0,36.0,30.0
75,Chemistry,15.0,36.0,16.0,55.0,30.0
76,Chemistry,10.0,20.0,17.0,43.0,30.0
77,Chemistry,12.0,37.0,20.0,55.0,30.0
78,Chemistry,9.0,30.0,19.0,38.0,30.0
79,Chemistry,18.0,30.0,18.0,58.0,30.0
80,Chemistry,16.0,29.0,20.0,58.0,29.0
81,Chemistry,18.0,30.0,18.0,66.0,30.0
82,Chemistry,8.0,21.0,19.0,46.0,30.0
83,Chemistry,9.0,25.0,15.0,41.0,30.0
84,Chemistry,8.0,24.0,14.0,44.0,30.0
85,Chemistry,16.0,38.0,16.0,55.0,29.0
86,Chemistry,8.0,20.0,16.0,49.0,29.0
87,Chemistry,15.0,22.0,20.0,41.0,30.0
88,Chemistry,11.0,24.0,14.0,45.0,30.0
89,Chemistry,18.0,35.0,15.0,63.0,29.0
90,Chemistry,6.0,23.0,18.0,43.0,30.0
91,Chemistry,14.0,19.0,12.0,48.0,29.0
92,Chemistry,14.0,16.0,16.0,52.0,30.0
93,Chemistry,9.0,24.0,10.0,49.0,28.0
94,Chemistry,9.0,15.0,18.0,54.0,30.0
95,Chemistry,15.0,22.0,17.0,40.0,30.0
96,Chemistry,7.0,29.0,17.0,38.0,29.0
97,Chemistry,10.0,29.0,12.0,50.0,29.0
98,Chemistry,18.0,36.0,17.0,56.0,29.0
99,Chemistry,8.0,23.0,16.0,46.0,29.0
100,Chemistry,10.0,27.0,13.0,48.0,26.0
101,Chemistry,11.0,29.0,20.0,50.0,30.0
102,Chemistry,15.0,34.0,18.0,63.0,30.0
103,Chemistry,12.0,28.0,17.0,49.0,30.0
104,Chemistry,14.0,27.0,12.0,56.0,29.0
105,Chemistry,9.0,34.0,19.0,50.0,30.0
106,Chemistry,8.0,28.0,11.0,45.0,30.0
107,Chemistry,16.0,35.0,18.0,58.0,29.0
108,Chemistry,7.0,23.0,16.0,52.0,28.0
109,Chemistry,12.0,24.0,10.0,50.0,30.0
110,Chemistry,9.0,23.0,16.0,50.0,30.0
111,Chemistry,0,0,0,0,0
112,Chemistry,12.0,38.0,18.0,61.0,29.0
113,Chemistry,14.0,36.0,18.0,54.0,30.0
114,Chemistry,10.0,24.0,14.0,43.0,29.0
115,Chemistry,10.0,25.0,19.0,50.0,30.0
116,Chemistry,13.0,20.0,12.0,45.0,30.0
117,Chemistry,14.0,34.0,19.0,59.0,30.0
118,Chemistry,13.0,33.0,19.0,59.0,30.0
119,Chemistry,16.0,35.0,22.0,57.0,30.0
120,Chemistry,15.0,28.0,20.0,59.0,30.0
1,Biology,15.0,29.0,24.0,62.0,30.0
2,Biology,18.0,36.0,18.0,53.0,29.0
3,Biology,16.0,37.0,16.0,33.0,28.0
4,Biology,10.0,32.0,13.0,38.0,29.0
5,Biology,15.0,30.0,23.0,66.0,30.0
6,Biology,14.0,30.0,13.0,43.0,28.0
7,Biology,13.0,29.0,12.0,48.0,28.0
8,Biology,15.0,30.0,15.0,35.0,28.0
9,Biology,19.0,36.0,19.0,59.0,29.0
10,Biology,12.0,28.0,14.0,46.0,28.0
11,Biology,14.0,35.0,20.0,58.0,30.0
12,Biology,12.0,30.0,25.0,58.0,30.0
13,Biology,18.0,37.0,19.0,51.0,28.0
14,Biology,15.0,30.0,12.0,40.0,28.0
15,Biology,19.0,38.0,17.0,58.0,28.0
16,Biology,18.0,36.0,18.0,53.0,30.0
17,Biology,17.0,32.0,18.0,61.0,28.0
18,Biology,17.0,32.0,19.0,26.0,27.0
19,Biology,18.0,37.0,18.0,52.0,28.0
20,Biology,13.0,28.0,15.0,55.0,29.0
21,Biology,15.0,29.0,13.0,55.0,29.0
22,Biology,14.0,31.0,13.0,39.0,27.0
23,Biology,17.0,35.0,20.0,57.0,30.0
24,Biology,17.0,38.0,20.0,59.0,30.0
25,Biology,12.0,32.0,12.0,50.0,28.0
26,Biology,13.0,29.0,16.0,42.0,27.0
27,Biology,15.0,35.0,16.0,59.0,28.0
28,Biology,17.0,35.0,20.0,57.0,30.0
29,Biology,14.0,32.0,16.0,64.0,27.0
30,Biology,0,0,0,0,0
31,Biology,19.0,38.0,21.0,54.0,28.0
32,Biology,15.0,30.0,14.0,40.0,28.0
33,Biology,12.0,31.0,15.0,49.0,28.0
34,Biology,17.0,39.0,17.0,46.0,30.0
35,Biology,19.0,38.0,16.0,45.0,28.0
36,Biology,13.0,29.0,14.0,40.0,28.0
37,Biology,17.0,36.0,18.0,61.0,28.0
38,Biology,13.0,28.0,15.0,49.0,27.0
39,Biology,10.0,25.0,13.0,49.0,26.0
40,Biology,17.0,27.0,16.0,35.0,27.0
41,Biology,16.0,26.0,20.0,50.0,28.0
42,Biology,15.0,32.0,16.0,43.0,28.0
43,Biology,12.0,29.0,17.0,42.0,27.0
44,Biology,18.0,29.0,16.0,58.0,30.0
45,Biology,15.0,29.0,13.0,48.0,28.0
46,Biology,20.0,31.0,15.0,61.0,28.0
47,Biology,16.0,30.0,14.0,35.0,27.0
48,Biology,20.0,39.0,17.0,45.0,28.0
49,Biology,14.0,30.0,15.0,53.0,28.0
50,Biology,16.0,33.0,16.0,57.0,28.0
51,Biology,21.0,39.0,20.0,59.0,28.0
52,Biology,13.0,29.0,16.0,35.0,27.0
53,Biology,14.0,28.0,17.0,41.0,28.0
54,Biology,15.0,30.0,16.0,36.0,28.0
55,Biology,12.0,28.0,16.0,44.0,28.0
